story_name	reading_time_min	Author	LastName	Name	country	genera	Wiki_URL	cats	linked_authors	Birth Year	Death Year
Las vocales de colores	1.525	Baroja, Pío	Baroja	Pío	España	Romanticismo	https://es.wikipedia.org/wiki/P%C3%ADo_Baroja	Académicos de la Real Academia Española,Alumnado de la Universidad Central de Madrid,Anticlericales,Anticomunistas de España,Autobiógrafos de España,Escritores de España de la generación del 98,Escritores de aventuras,Escritores del País Vasco,Escritores médicos,Escritores sobre el carlismo,Exiliados del franquismo en Francia,Fallecidos en 1956,Fallecidos en Madrid,Fallecidos por complicaciones cardiovasculares,Hombres,Médicos de Atención Primaria de España,Médicos de Guipúzcoa,Nacidos en 1872,Nacidos en San Sebastián,Novelistas de España del siglo XX,Personas de Vera de Bidasoa,Pío Baroja,Sepultados en el cementerio civil de Madrid	Antonio Machado,Benito Pérez Galdós,Camilo José Cela,Daniel Defoe,Ernest Hemingway,Jacinto Benavente,José Ortega y Gasset,Julio Verne,Miguel de Unamuno,Robert Louis Stevenson,Rubén Darío	1872	1956
Cuánto se divertían	4.935	Asimov, Isaac	Asimov	Isaac	Estadounidense	Romanticismo	https://es.wikipedia.org/wiki/Isaac_Asimov	Alumnado de la Universidad de Columbia,Ateos de Estados Unidos,Ateos judíos,Autobiógrafos de Estados Unidos,Autores ganadores del premio Hugo,Autores ganadores del premio Nébula,Comité para la Investigación Escéptica,Críticos de las religiones,Demócratas de Estados Unidos,Emigrantes soviéticos hacia Estados Unidos,Escritores de Estados Unidos del siglo XX,Escritores de ciencia ficción de Estados Unidos,Escritores de divulgación científica,Escritores en inglés del siglo XX,Escritores judíos,Escritores modernos de ficción relacionada con la mitología griega,Escépticos,Fallecidos en 1992,Fallecidos en Manhattan,Fallecidos por sida en Estados Unidos,Hombres,Humoristas de Estados Unidos,Isaac Asimov,Judíos de Estados Unidos,Miembros de Mensa,Miembros de la Academia Estadounidense de las Artes y las Ciencias,Militares estadounidenses de la Segunda Guerra Mundial,Nacidos en 1920,Novelistas de Estados Unidos,Personas de Brooklyn,Polímatas,Profesores de la Universidad de Boston	Arthur C. Clarke,Kurt Vonnegut	1920	1992
Todo lo contrario	0.795	Benedetti, Mario	Benedetti	Mario	Uruguay	Romanticismo	https://es.wikipedia.org/wiki/Mario_Benedetti	Fallecidos en 2009,Hombres,Mario Benedetti,Nacidos en 1920	Gabriela Mistral,José Saramago,Pablo Neruda,Rubén Darío	1920	2009
La carne	5.26	Piñera, Virgilio	Piñera	Virgilio	Cuba		https://es.wikipedia.org/wiki/Virgilio_Pi%C3%B1era	Cuentistas de Cuba,Dramaturgos de Cuba,Escritores LGBT de Cuba,Escritores de Cuba,Escritores de literatura fantástica de Cuba,Escritores en español,Escritores gais,Fallecidos en 1979,Fallecidos en La Habana,Gais de Cuba,Hombres,Nacidos en 1912,Nacidos en Cárdenas (Cuba),Poesía moderna,Poetas de Cuba,Premio Casa de las Américas,Prisioneros políticos de Cuba,Traductores de Cuba,Traductores de literatura polaca,Traductores del francés al español,Traductores del polaco al español	Charles Baudelaire,Cintio Vitier,Eliseo Diego,Gastón Baquero,Jorge Luis Borges,José Lezama Lima,Victoria Ocampo	1912	1979
La rana gritona y el león	0.315	Esopo	Esopo		Grecia					Siglo VI AC	
Nada con exceso	0.88	La Fontaine, Jean de	La Fontaine	Jean de	Francia	Romanticismo	https://es.wikipedia.org/wiki/Jean_de_La_Fontaine	Escritores en francés,Fabulistas,Fallecidos en 1695,Fallecidos en París,Hombres,Index Librorum Prohibitorum,Miembros de la Academia Francesa,Moralistas,Nacidos en 1621,Nacidos en Château-Thierry,Poetas de Francia del siglo XVII	Charles Perrault,Giovanni Boccaccio	1621	1695
Margarita o El poder de la farmacopea	2.815	Bioy Casares, Adolfo	Bioy Casares	Adolfo	Argentina	Romanticismo	https://es.wikipedia.org/wiki/Adolfo_Bioy_Casares	Adolfo Bioy Casares,Agnósticos de Argentina,Antifascistas de Argentina,Antiperonistas,Caballeros de la Legión de Honor,Candidatos al Premio Nobel de Literatura,Diaristas de Argentina,Escritores de género masculino de Argentina,Fallecidos en 1999,Fallecidos en Buenos Aires,Gran Premio de Honor de la SADE,Hombres,Liberales de Argentina,Nacidos en 1914,Nacidos en Buenos Aires,Novelistas de Argentina,Premio Internacional Alfonso Reyes,Premio Konex de Brillante,Premio Nacional de Letras (Argentina)	Alain Robbe-Grillet,Augusto Roa Bastos,Francisco Ayala,Franz Kafka,Johann Wolfgang von Goethe,Jorge Luis Borges,Juan Rodolfo Wilcock,Julio Cortázar,Lewis Carroll,Silvina Ocampo,Victoria Ocampo	1914	1999
La niña de los tres maridos	4.025	Caballero, Fernán	Caballero	Fernán	España	Romanticismo	https://es.wikipedia.org/wiki/Fern%C3%A1n_Caballero	Escritoras de España,Escritores católicos de España,Escritores con seudónimo,Escritores costumbristas de España,Escritores de España del siglo XIX,Escritores de Suiza del siglo XIX,Escritores en español del siglo XIX,Españolas del siglo XIX,Fallecidos en 1877,Fallecidos en Sevilla,Folcloristas de España del siglo XIX,Literatura del Realismo,Mujeres,Mujeres novelistas de España,Nacidos en 1796,Nacidos en Morges,Novelistas de España del siglo XIX	Benito Pérez Galdós,Juan Valera,Rosalía de Castro,Washington Irving	1796	1877
Los vecinos del principal derecha	5.155	Jardiel Poncela, Enrique	Jardiel Poncela	Enrique	España	Romanticismo	https://es.wikipedia.org/wiki/Enrique_Jardiel_Poncela	Aforistas,Alumnado de las Escuelas Pías,Antiguos alumnos del Liceo Francés de Madrid,Dramaturgos de España del siglo XX,Dramaturgos de la Comunidad de Madrid,Enrique Jardiel Poncela,Escritores de España de la Generación del 27,Escritores de España del siglo XX,Escritores de Madrid,Escritores en español del siglo XX,Fallecidos en 1952,Fallecidos en Madrid,Hombres,Humoristas de España del siglo XX,Humoristas de la Comunidad de Madrid,Nacidos en 1901,Nacidos en Madrid,Novelistas de España del siglo XX,Premio Nacional de Teatro de España	Manuel Machado,Miguel Mihura,Ramón Gómez de la Serna	1901	1952
El sexo de los ángeles	1.325	Benedetti, Mario	Benedetti	Mario	Uruguay	Romanticismo	https://es.wikipedia.org/wiki/Mario_Benedetti	Fallecidos en 2009,Hombres,Mario Benedetti,Nacidos en 1920	Gabriela Mistral,José Saramago,Pablo Neruda,Rubén Darío	1920	2009
Rumpelstikin	5.535	Anónimo	Anónimo								
Profundidad china	0.135	Papini, Giovanni	Papini	Giovanni	Italia		https://es.wikipedia.org/wiki/Giovanni_Papini	Biógrafos de Italia,Candidatos al Premio Nobel de Literatura,Candidatos al Premio Nobel de la Paz,Conversos al catolicismo desde el ateísmo o agnosticismo,Escritores católicos,Escritores de Italia del siglo XX,Escritores en italiano,Fallecidos en 1956,Fallecidos en Florencia,Giovanni Papini,Hombres,Nacidos en 1881,Nacidos en Florencia,Poesía moderna	Aldous Huxley,Dante Alighieri,Filippo Tommaso Marinetti,Giacomo Leopardi,Giovanni Boccaccio,Giuseppe Ungaretti,Johann Wolfgang von Goethe,Jorge Luis Borges,William Shakespeare	1881	1956
Metamorfosis	0.49	Gómez de la Serna, Ramón	Gómez de la Serna	Ramón	España	Romanticismo	https://es.wikipedia.org/wiki/Ram%C3%B3n_G%C3%B3mez_de_la_Serna	Alumnado de las Escuelas Pías,Biógrafos de España del siglo XX,Ensayistas de Argentina,Ensayistas de España del siglo XX,Escritores costumbristas de España,Escritores de Argentina del siglo XX,Escritores de España del Novecentismo,Escritores de la Comunidad de Madrid,Escritores de literatura humorística,Escritores en español del siglo XX,Exiliados del franquismo en Argentina,Fallecidos en 1963,Fallecidos en Buenos Aires,Generación de 1914,Grandes cruces de la Orden de Alfonso X el Sabio,Hombres,Humoristas de Argentina,Humoristas de España del siglo XX,Literatura de vanguardia,Microrrelatistas,Miembros del Instituto de Estudios Madrileños,Nacidos en 1888,Nacidos en Madrid,Novelistas de Argentina,Novelistas de España del siglo XX,Periodistas de España del siglo XX,Poesía moderna,Ramón Gómez de la Serna,Sepultados en el cementerio de San Justo	Carolina Coronado,Enrique Jardiel Poncela,Francisco de Quevedo,Gaspar Núñez de Arce,José Ortega y Gasset,José de Espronceda,Jules Renard,Lope de Vega,Manuel Bretón de los Herreros,Manuel Machado,Miguel Mihura,Oliverio Girondo,Pedro Emilio Coll,Pío Baroja,Tomás Borrás,William Shakespeare	1888	1963
La liebre y la tortuga	1.73	Esopo	Esopo		Grecia					Siglo VI AC	
Cuento VII – El conde Lucanor – Doña Truhana	2.45	Juan Manuel	Juan Manuel		España					1282	1348
Pigmalión	3.725	Updike, John	Updike	John	Estados Unidos	Romanticismo	https://es.wikipedia.org/wiki/John_Updike	Alumnado de la Universidad de Harvard,Cuentistas de Estados Unidos,Doctores honorarios de Bates College,Doctores honorarios de la Universidad de Harvard,Doctores honorarios por la Universidad Brandeis,Ensayistas de Estados Unidos,Escritores de Estados Unidos del siglo XX,Escritores de Estados Unidos del siglo XXI,Escritores de ficción psicológica,Escritores en inglés del siglo XX,Escritores en inglés del siglo XXI,Escritores modernos de ficción relacionada con la mitología griega,Fallecidos en 2009,Fallecidos por cáncer de pulmón en Massachusetts,Ganadores del Premio Nacional del Libro,Ganadores del Premio Pulitzer,Hombres,Medalla Nacional de Humanidades,Medalla Nacional de las Artes,Miembros de la Academia Estadounidense de las Artes y las Letras,Nacidos en 1932,Nacidos en Reading (Pensilvania),Novelistas de Estados Unidos,Poetas de Estados Unidos	Ernest Hemingway,Franz Kafka,J. D. Salinger,James Joyce,James Thurber,José Ortega y Gasset,Marcel Proust,Miguel de Unamuno,Vladimir Nabokov,William Shakespeare	1932	2009
La pasarela	5.685	Pardo Bazán, Emilia	Pardo Bazán	Emilia	España	Romanticismo	https://es.wikipedia.org/wiki/Emilia_Pardo_Baz%C3%A1n	Académicos numerarios de la Real Academia Gallega,Aliadófilos en España durante la Primera Guerra Mundial,Antidarwinismo en España,Antisemitismo en España,Ateneístas,Catedráticos de la Universidad Complutense de Madrid,Condes de España,Creacionistas,Críticos de teatro de España,Críticos literarios de España del siglo XIX,Críticos literarios de España del siglo XX,Damas de la Orden de las Damas Nobles de la Reina María Luisa,Emilia Pardo Bazán,Escritoras de España,Escritoras feministas de España,Escritores católicos de España,Escritores costumbristas de España,Escritores de España del Realismo,Escritores de España del siglo XIX,Escritores de España del siglo XX,Escritores de la provincia de La Coruña,Escritores en español,Escritores sobre el carlismo,Españolas del siglo XIX,Españolas del siglo XX,Fallecidos en 1921,Fallecidos en Madrid,Feministas de Galicia,Gastrónomas de España,Historia de las mujeres en España,Literatos carlistas,Mujeres,Mujeres novelistas de España,Nacidos en 1851,Nacidos en La Coruña,Novelistas de España del siglo XIX,Novelistas de España del siglo XX,Novelistas de Galicia,Racismo en España,Salonnière,Sepultados en la Sacramental de San Lorenzo y San José	Benito Pérez Galdós,Francisco Pi y Margall,Gertrudis Gómez de Avellaneda,José María Gabriel y Galán,Juan Valera,María de Zayas,Miguel de Unamuno,Pedro Antonio de Alarcón,Ramón de Campoamor,Vicente Blasco Ibáñez,Victor Hugo,Wenceslao Fernández Flórez,Émile Zola	1851	1921
El poder	4.155	Brown, Fredric	Brown	Fredric	Estados Unidos	Romanticismo	https://es.wikipedia.org/wiki/Fredric_Brown	Escritores de Estados Unidos,Escritores de ciencia ficción de Estados Unidos,Escritores de misterio,Fallecidos en 1972,Ganadores del Premio Edgar a la Mejor primera novela,Hombres,Nacidos en 1906,Nacidos en Cincinnati	Philip K. Dick	1906	1972
El rey de los monos	1.66	Anónimo	Anónimo		India						
Cuento de los tres deseos	3.33	Le Prince de Beaumont	Le Prince de Beaumont		Francia					1711	1780
La ley de Herodes	6.415	Ibargüengoitia, Jorge	Ibargüengoitia	Jorge	Mexico		https://es.wikipedia.org/wiki/Jorge_Ibarg%C3%BCengoitia	Cuentistas de México del siglo XX,Dramaturgos de México,Escritores de Guanajuato,Escritores de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1983,Fallecidos en Madrid,Fallecidos por accidentes aéreos,Hombres,Nacidos en 1928,Nacidos en Guanajuato (ciudad),Novelistas de México,Premio Casa de las Américas	Evelyn Waugh,Gabriel García Márquez,Italo Calvino,Manuel Scorza,Salvador Novo,Sergio Pitol	1928	1983
El primer destilador	5.94	Tolstoi, León	Tolstoi	León	Rusia	Romanticismo	https://es.wikipedia.org/wiki/Le%C3%B3n_Tolst%C3%B3i	Aforistas,Anarco-pacifistas,Anarquismo cristiano,Anarquistas de Rusia,Candidatos al Premio Nobel de Literatura,Candidatos al Premio Nobel de la Paz,Condes de Rusia,Conversos al cristianismo,Cristianos de Rusia,Cristianos del siglo XIX,Cristianos del siglo XX,Educadores de Rusia,Escritores cristianos,Escritores de Rusia del siglo XIX,Escritores en ruso,Fallecidos en 1910,Fallecidos por neumonía en Rusia,Filósofos cristianos,Georgistas,Hombres,León Tolstói,Literatura del Realismo,Movimiento tolstoyano,Nacidos en 1828,Novelistas de Rusia del siglo XIX,Pacifistas de Rusia,Pedagogos anarquistas,Pedagogos de Rusia,Personas de la Guerra de Crimea,Socios correspondientes de la Academia Brasileña de Letras	Rainer Maria Rilke,Stefan Zweig	1828	1910
Los piojitos de la princesa	5.66	Anónimo	Anónimo								
La casa embrujada	2.885	Crowe, Catherine	Crowe	Catherine	Inglaterra		https://es.wikipedia.org/wiki/Catherine_Crowe	Cuentistas de Inglaterra,Dramaturgas de Inglaterra,Fallecidos en 1875,Mujeres,Mujeres novelistas de Inglaterra,Nacidos en 1803,Nacidos en Kent,Novelistas de Inglaterra del siglo XIX,Novelistas victorianos	Charles Baudelaire,Charles Dickens	1790	1876
Los gatos de Ulthar	6.9	Lovecraft, H. P.	Lovecraft	H. P.	Estados Unidos	Romanticismo	https://es.wikipedia.org/wiki/H._P._Lovecraft	Agnósticos de Estados Unidos,Ateos de Estados Unidos,Columnistas de Estados Unidos,Escritores de Estados Unidos,Escritores de terror,Escritores del siglo XX,Fallecidos en 1937,Fallecidos en Providence (Rhode Island),H. P. Lovecraft,Hombres,Mitos de Cthulhu,Nacidos en 1890	Algernon Blackwood,Arthur Machen,Bram Stoker,Clark Ashton Smith,Edgar Allan Poe,Jorge Luis Borges,Lord Dunsany,Ray Bradbury,Robert Bloch	1890	1937
El gato y la zorra	1.19	La Fontaine, Jean de	La Fontaine	Jean de	Francia	Romanticismo	https://es.wikipedia.org/wiki/Jean_de_La_Fontaine	Escritores en francés,Fabulistas,Fallecidos en 1695,Fallecidos en París,Hombres,Index Librorum Prohibitorum,Miembros de la Academia Francesa,Moralistas,Nacidos en 1621,Nacidos en Château-Thierry,Poetas de Francia del siglo XVII	Charles Perrault,Giovanni Boccaccio	1621	1695
De funerales	0.605	Torri, Julio	Torri	Julio	Mexico		https://es.wikipedia.org/wiki/Julio_Torri	Abogados de Coahuila,Escritores de Coahuila,Fallecidos en 1970,Fallecidos en Ciudad de México,Hombres,Microrrelatistas,Miembros de la Academia Mexicana de la Lengua,Miembros del Ateneo de la Juventud Mexicana,Nacidos en 1889,Nacidos en Saltillo	Heinrich Heine	1889	1970
El pollito que se hizo rey	4.06	Anónimo	Anónimo		África						
EL Zorro y los Pavos	0.94	La Fontaine, Jean de	La Fontaine	Jean de	Francia	Romanticismo	https://es.wikipedia.org/wiki/Jean_de_La_Fontaine	Escritores en francés,Fabulistas,Fallecidos en 1695,Fallecidos en París,Hombres,Index Librorum Prohibitorum,Miembros de la Academia Francesa,Moralistas,Nacidos en 1621,Nacidos en Château-Thierry,Poetas de Francia del siglo XVII	Charles Perrault,Giovanni Boccaccio	1621	1695
Las estatuas	0.645	Anderson Imbert, Enrique	Anderson Imbert	Enrique	Argentina		https://es.wikipedia.org/wiki/Enrique_Anderson_Imbert	Alumnado de la Facultad de Filosofía y Letras de la Universidad de Buenos Aires,Alumnado del Colegio Nacional Rafael Hernández,Beca Guggenheim,Críticos literarios de Argentina,Cuentistas de Argentina,Ensayistas de Argentina,Escritores de la provincia de Córdoba (Argentina),Escritores en español del siglo XX,Fallecidos en 2000,Fallecidos en Buenos Aires,Hombres,Miembros de la Academia Argentina de Letras,Miembros de la Academia Estadounidense de las Artes y las Ciencias,Nacidos en 1910,Nacidos en Córdoba (Argentina),Novelistas de Argentina,Profesorado de la Universidad Nacional de Tucumán,Profesores de la Universidad Nacional de Cuyo,Profesores de la Universidad de Harvard,Profesores de la Universidad de Míchigan,Sepultados en el Cementerio Jardín de Paz de Pilar		1910	2000
El muerto en el mar de Urca	2.225	Lispector, Clarice	Lispector	Clarice	Brasil	Histórico	https://es.wikipedia.org/wiki/Clarice_Lispector	Alumnado de la Universidad Federal de Río de Janeiro,Brasileños nacidos en el exterior,Clarice Lispector,Cuentistas de Brasil,Cuentistas de Ucrania,Escritoras de Brasil,Escritoras de Ucrania,Escritores del siglo XX,Escritores en portugués,Fallecidas por cáncer de ovario,Fallecidos en 1977,Fallecidos por cáncer en Brasil,Judíos de Brasil,Judíos de Ucrania,Mujeres,Nacidos en 1920,Nacionalizados de Brasil,Novelistas de Brasil,Novelistas de Ucrania,Premio Jabuti,Traductores al portugués,Traductores de Agatha Christie,Traductores de Brasil,Traductores de Edgar Allan Poe,Traductores de Oscar Wilde,Traductores de Ucrania	Cristina Peri Rossi,Franz Kafka,Ida Vitale,James Joyce,Jorge Luis Borges,Virginia Woolf	1920	1977
Para objetos solamente	4.64	Benedetti, Mario	Benedetti	Mario	Uruguay	Romanticismo	https://es.wikipedia.org/wiki/Mario_Benedetti	Fallecidos en 2009,Hombres,Mario Benedetti,Nacidos en 1920	Gabriela Mistral,José Saramago,Pablo Neruda,Rubén Darío	1920	2009
El cometa	0.07	Gómez de la Serna, Ramón	Gómez de la Serna	Ramón	España	Romanticismo	https://es.wikipedia.org/wiki/Ram%C3%B3n_G%C3%B3mez_de_la_Serna	Alumnado de las Escuelas Pías,Biógrafos de España del siglo XX,Ensayistas de Argentina,Ensayistas de España del siglo XX,Escritores costumbristas de España,Escritores de Argentina del siglo XX,Escritores de España del Novecentismo,Escritores de la Comunidad de Madrid,Escritores de literatura humorística,Escritores en español del siglo XX,Exiliados del franquismo en Argentina,Fallecidos en 1963,Fallecidos en Buenos Aires,Generación de 1914,Grandes cruces de la Orden de Alfonso X el Sabio,Hombres,Humoristas de Argentina,Humoristas de España del siglo XX,Literatura de vanguardia,Microrrelatistas,Miembros del Instituto de Estudios Madrileños,Nacidos en 1888,Nacidos en Madrid,Novelistas de Argentina,Novelistas de España del siglo XX,Periodistas de España del siglo XX,Poesía moderna,Ramón Gómez de la Serna,Sepultados en el cementerio de San Justo	Carolina Coronado,Enrique Jardiel Poncela,Francisco de Quevedo,Gaspar Núñez de Arce,José Ortega y Gasset,José de Espronceda,Jules Renard,Lope de Vega,Manuel Bretón de los Herreros,Manuel Machado,Miguel Mihura,Oliverio Girondo,Pedro Emilio Coll,Pío Baroja,Tomás Borrás,William Shakespeare	1888	1963
Rutinas	0.615	Benedetti, Mario	Benedetti	Mario	Uruguay	Romanticismo	https://es.wikipedia.org/wiki/Mario_Benedetti	Fallecidos en 2009,Hombres,Mario Benedetti,Nacidos en 1920	Gabriela Mistral,José Saramago,Pablo Neruda,Rubén Darío	1920	2009
Fábula	1.095	Pessoa, Fernando	Pessoa	Fernando	Portugal	Romanticismo	https://es.wikipedia.org/wiki/Fernando_Pessoa	Agnósticos de Portugal,Escritores con seudónimo,Escritores de Portugal del siglo XX,Escritores en portugués,Fallecidos en 1935,Fallecidos por cirrosis,Fernando Pessoa,Hombres,Masones de Portugal,Nacidos en 1888,Nacidos en Lisboa,Paganos,Poesía moderna,Poetas de Portugal del siglo XX,Poetas en portugués,Rosacruces	Alfred Tennyson,Antonio Machado,Cecília Meireles,Edgar Allan Poe,Ezra Pound,James Joyce,Jesús Munárriz,John Keats,John Milton,José Luis García Martín,José Saramago,Lord Byron,Octavio Paz,Pablo Neruda,Percy Bysshe Shelley,T. S. Eliot,Walt Whitman,William Butler Yeats,William Shakespeare,William Wordsworth,Ángel Crespo	1888	1935
Los lobos y los perros alistándose a luchar	0.64	Esopo	Esopo		Grecia					Siglo VI AC	
En tierra firme	0.275	Anónimo	Anónimo		Arabia						
El grillo maestro	0.715	Monterroso, Augusto	Monterroso	Augusto	Guatemala		https://es.wikipedia.org/wiki/Augusto_Monterroso	Aforistas,Augusto Monterroso,Cuentistas de Guatemala,Emigrantes guatemaltecos hacia México,Ensayistas de Guatemala,Escritores de Guatemala,Escritores en español del siglo XX,Fabulistas,Fallecidos en 2003,Fallecidos en Ciudad de México,Galardonados con el Premio Princesa de Asturias de las Letras,Ganadores del Premio Nacional de Literatura de Guatemala,Hombres,Microrrelatistas,Nacidos en 1920,Nacidos en Tegucigalpa,Nacionalizados de Guatemala,Premio Xavier Villaurrutia		1921	2003
En una estación de ferrocarril	5.25	Hearn, Lafcadio	Hearn	Lafcadio	Grecia		https://es.wikipedia.org/wiki/Lafcadio_Hearn	Budistas de Grecia,Budistas de Irlanda,Conversos al budismo desde el cristianismo,Cuentos de hadas,Escritores de Estados Unidos del siglo XIX,Escritores de Irlanda del siglo XIX,Escritores de Japón del siglo XIX,Escritores en inglés del siglo XIX,Fallecidos en 1904,Fallecidos por insuficiencia cardíaca,Folcloristas de Japón,Hombres,Japonólogos,Nacidos en 1850,Orientalistas de Estados Unidos,Orientalistas de Grecia,Orientalistas de Irlanda,Periodistas de Estados Unidos,Personas tuertas,Profesores de la Universidad de Tokio,Profesores de la Universidad de Waseda	Gustave Flaubert,Guy de Maupassant	1850	1904
Los animales en el arca	1.385	Denevi, Marco	Denevi	Marco	Argentina		https://es.wikipedia.org/wiki/Marco_Denevi	Alumnado del Colegio Nacional de Buenos Aires,Cuentistas de Argentina,Diplomas al mérito Konex,Dramaturgos de Argentina,Escritores en español del siglo XX,Fallecidos en 1998,Hombres,Microrrelatistas,Nacidos en 1920,Novelistas de Argentina,Periodistas de Argentina,Personas de Sáenz Peña (Buenos Aires),Sepultados en el cementerio de la Recoleta		1922	1998
El grupo	4.76	Pavese, Cesare	Pavese	Cesare	Italia		https://es.wikipedia.org/wiki/Cesare_Pavese	Antifascistas de Italia,Ateos de Italia,Biógrafos de Italia,Cuentistas de Italia,Diaristas,Ensayistas de Italia del siglo XX,Escritores de Italia del siglo XX,Escritores que cometieron suicidio,Fallecidos en 1950,Fallecidos en Turín,Ganadores del Premio Strega,Hombres,Nacidos en 1908,Nacidos en Santo Stefano Belbo,Novelistas de Italia del siglo XX,Poesía moderna,Poetas de Italia del siglo XX,Suicidas de Italia,Suicidas por sobredosis de barbitúricos,Suicidios en 1950,Suicidios masculinos,Traductores al italiano,Traductores del inglés	Charles Dickens,Daniel Defoe,Herman Melville,James Joyce,Walt Whitman,William Faulkner	1908	1950
La leyenda de Carlomagno	0.815	Calvino, Italo	Calvino	Italo	Italia		https://es.wikipedia.org/wiki/Italo_Calvino	Alumnado de la Universidad de Florencia,Ateos de Italia,Comunistas de Italia,Escritores de Italia del siglo XX,Escritores en italiano,Fallecidos en 1985,Fallecidos en Siena,Hombres,Italo Calvino,Nacidos en 1923,Nacidos en Santiago de las Vegas,Personas de Liguria	Alberto Moravia,Cesare Pavese,Jorge Luis Borges,Joseph Conrad	1923	1985
Ley profunda	0.375	Reyes, Alfonso	Reyes	Alfonso	Mexico		https://es.wikipedia.org/wiki/Alfonso_Reyes			1889	1959
Dios y el párroco	1.235	Afanasiev, Aleksandr Nikoalevich	Afanasiev	Aleksandr Nikoalevich	Rusia					1826	1871
Tristis imago	2.73	Romero de Terreros, Manuel	Romero de Terreros	Manuel	Mexico	Histórico	https://es.wikipedia.org/wiki/Manuel_Romero_de_Terreros	Caballeros de la Orden de Malta,Caballeros de la Orden del Santo Sepulcro de Jerusalén,Escritores de la Ciudad de México,Fallecidos en 1968,Fallecidos en Ciudad de México,Historiadores de México,Hombres,Miembros de la Academia Mexicana de la Historia,Miembros de la Academia Mexicana de la Lengua,Nacidos en 1880,Nacidos en Ciudad de México		1880	1968
La princesa y el frijol	1.955	Andersen, Hans Christian	Andersen	Hans Christian	Dinamarca	Romanticismo	https://es.wikipedia.org/wiki/Hans_Christian_Andersen	Autodidactas,Comandantes de primera clase de la Orden de Dannebrog,Cuentistas de Dinamarca,Escritores LGBT de Dinamarca,Escritores bisexuales,Escritores de Dinamarca del siglo XIX,Escritores de literatura infantil de Dinamarca,Escritores en danés,Escritores sobre viajes del siglo XIX,Fallecidos en 1875,Fallecidos por cáncer de hígado en Dinamarca,Hans Christian Andersen,Historia LGBT en Dinamarca,Hombres,Nacidos en 1805,Nacidos en Odense,Novelistas de Dinamarca del siglo XIX,Personas que dan nombre a un asteroide,Poetas de Dinamarca del siglo XIX,Protestantes de Dinamarca,Viajeros del siglo XIX por España,Zurdos	Charles Dickens,William Shakespeare	1805	1875
El enigma	0.975	Voltaire	Voltaire		Francia					1694	1778
En el Santo	6.17	Pardo Bazán, Emilia	Pardo Bazán	Emilia	España	Romanticismo	https://es.wikipedia.org/wiki/Emilia_Pardo_Baz%C3%A1n	Académicos numerarios de la Real Academia Gallega,Aliadófilos en España durante la Primera Guerra Mundial,Antidarwinismo en España,Antisemitismo en España,Ateneístas,Catedráticos de la Universidad Complutense de Madrid,Condes de España,Creacionistas,Críticos de teatro de España,Críticos literarios de España del siglo XIX,Críticos literarios de España del siglo XX,Damas de la Orden de las Damas Nobles de la Reina María Luisa,Emilia Pardo Bazán,Escritoras de España,Escritoras feministas de España,Escritores católicos de España,Escritores costumbristas de España,Escritores de España del Realismo,Escritores de España del siglo XIX,Escritores de España del siglo XX,Escritores de la provincia de La Coruña,Escritores en español,Escritores sobre el carlismo,Españolas del siglo XIX,Españolas del siglo XX,Fallecidos en 1921,Fallecidos en Madrid,Feministas de Galicia,Gastrónomas de España,Historia de las mujeres en España,Literatos carlistas,Mujeres,Mujeres novelistas de España,Nacidos en 1851,Nacidos en La Coruña,Novelistas de España del siglo XIX,Novelistas de España del siglo XX,Novelistas de Galicia,Racismo en España,Salonnière,Sepultados en la Sacramental de San Lorenzo y San José	Benito Pérez Galdós,Francisco Pi y Margall,Gertrudis Gómez de Avellaneda,José María Gabriel y Galán,Juan Valera,María de Zayas,Miguel de Unamuno,Pedro Antonio de Alarcón,Ramón de Campoamor,Vicente Blasco Ibáñez,Victor Hugo,Wenceslao Fernández Flórez,Émile Zola	1851	1921
La higuera	0.89	Tagore, Rabindranath	Tagore	Rabindranath	India		https://es.wikipedia.org/wiki/Rabindranath_Tagore	Aforistas,Alumnado de la Universidad de Calcuta,Alumnado del University College de Londres,Autores de himnos nacionales,Dramaturgos de India,Escritores de Bangladés,Escritores de India del siglo XIX,Escritores de India del siglo XX,Escritores en bengalí,Fallecidos en 1941,Filósofos de India del siglo XIX,Filósofos de India del siglo XX,Hombres,Indios laureados con el Premio Nobel de Literatura,Knights Bachelor,Laureados con el Premio Nobel 1913,Nacidos en 1861,Nacidos en Calcuta,Novelistas de India del siglo XIX,Novelistas de India del siglo XX,Pedagogos de India,Poetas de India del siglo XIX,Poetas de India del siglo XX,Rabindranath Tagore	Dante Alighieri,Federico García Lorca,Gabriela Mistral,Graham Greene,Johann Wolfgang von Goethe,José Ortega y Gasset,Juan Ramón Jiménez,León Tolstoi,Miguel de Cervantes,Octavio Paz,Pablo Neruda,Robert Frost,Thomas Mann,Victoria Ocampo,W. B. Yeats,Yasunari Kawabata	1861	1941
