story_name	reading_time_min	Author	LastName	Name	country	genera	Wiki_URL	cats	linked_authors	Birth Year	Death Year
Las alas robadas	5.395	Anónimo	Anónimo		África						
La margarita	6.9	Andersen, Hans Christian	Andersen	Hans Christian	Dinamarca	Romanticismo	https://es.wikipedia.org/wiki/Hans_Christian_Andersen	Autodidactas,Comandantes de primera clase de la Orden de Dannebrog,Cuentistas de Dinamarca,Escritores LGBT de Dinamarca,Escritores bisexuales,Escritores de Dinamarca del siglo XIX,Escritores de literatura infantil de Dinamarca,Escritores en danés,Escritores sobre viajes del siglo XIX,Fallecidos en 1875,Fallecidos por cáncer de hígado en Dinamarca,Hans Christian Andersen,Historia LGBT en Dinamarca,Hombres,Nacidos en 1805,Nacidos en Odense,Novelistas de Dinamarca del siglo XIX,Personas que dan nombre a un asteroide,Poetas de Dinamarca del siglo XIX,Protestantes de Dinamarca,Viajeros del siglo XIX por España,Zurdos	Charles Dickens,William Shakespeare	1805	1875
La zorra y la cigüeña	1.155	La Fontaine, Jean de	La Fontaine	Jean de	Francia	Romanticismo	https://es.wikipedia.org/wiki/Jean_de_La_Fontaine	Escritores en francés,Fabulistas,Fallecidos en 1695,Fallecidos en París,Hombres,Index Librorum Prohibitorum,Miembros de la Academia Francesa,Moralistas,Nacidos en 1621,Nacidos en Château-Thierry,Poetas de Francia del siglo XVII	Charles Perrault,Giovanni Boccaccio	1621	1695
El mantra secreto	0.76	Anónimo	Anónimo		India						
Miniatura V	0.72	Soto, Pedro Juan	Soto	Pedro Juan	Puerto Rico	Periodismo	https://es.wikipedia.org/wiki/Pedro_Juan_Soto	Escritores de Puerto Rico,Escritores en español,Fallecidos en 2002,Fallecidos en San Juan (Puerto Rico),Hombres,Nacidos en 1928,Periodistas de Puerto Rico,Premio Casa de las Américas	René Marqués	1928	2002
El Diablo y el relojero	3.46	Defoe, Daniel	Defoe	Daniel	Inglaterra	Romanticismo	https://es.wikipedia.org/wiki/Daniel_Defoe	Daniel Defoe,Ensayistas del Reino Unido del siglo XVIII,Ensayistas del siglo XVII,Esclavistas,Escritores con seudónimo,Escritores de Inglaterra del siglo XVII,Escritores de Londres,Escritores de literatura infantil y juvenil,Escritores sobre viajes del siglo XVII,Escritores sobre viajes del siglo XVIII,Espías del Reino Unido,Fallecidos en 1731,Hombres,Index Librorum Prohibitorum,Nacidos en 1660,Novelistas de Inglaterra del siglo XVII,Novelistas del Reino Unido del siglo XVIII,Periodistas del Reino Unido,Presbiterianos del Reino Unido,Satíricos del Reino Unido		1659	1731
Cartas a los muertos	3.645	Hernández, Felisberto	Hernández	Felisberto	Uruguay		https://es.wikipedia.org/wiki/Felisberto_Hern%C3%A1ndez	Compositores de Uruguay,Cuentistas de Uruguay,Escritores en español del siglo XX,Fallecidos en 1964,Hombres,Nacidos en 1902,Nacidos en Montevideo,Novelistas de Uruguay,Pianistas de Uruguay	Cristina Peri Rossi,Esther de Cáceres,Franz Kafka,Gabriel García Márquez,Horacio Quiroga,Ida Vitale,Italo Calvino,Jorge Luis Borges,Juan Carlos Onetti,Julio Cortázar,Marcel Proust	1902	1963
Los alimentos terrestres	5.245	Arreola, Juan José	Arreola	Juan José	Mexico		https://es.wikipedia.org/wiki/Juan_Jos%C3%A9_Arreola	Académicos e investigadores de la Universidad Nacional Autónoma de México,Alumnado de El Colegio de México,Cuentistas de México del siglo XX,Doctores honoris causa de la Universidad de Colima,Editores de México,Escritores de Jalisco,Escritores en español del siglo XX,Fallecidos en 2001,Fallecidos en Guadalajara (México),Hombres,Microrrelatistas,Nacidos en 1918,Nacidos en Ciudad Guzmán,Premio Internacional Alfonso Reyes,Premio Nacional de Ciencias y Artes (México),Premio Nacional de Periodismo de México,Premio Xavier Villaurrutia	Charles Baudelaire,Eduardo Lizalde,Elsa Cross,Elías Nandino,Federico García Lorca,Franz Kafka,Giovanni Papini,Hans Christian Andersen,Jaime Torres Bodet,Jean de La Fontaine,Jorge Luis Borges,José Emilio Pacheco,José Revueltas,Juan Rulfo,Jules Renard,Julio Cortázar,Julio Torri,Marcel Proust,Marcel Schwob,Octavio Paz,Paul Valéry,Ramón López Velarde,Rubén Bonifaz Nuño,Walt Whitman,Xavier Villaurrutia	1918	2001
Nasrudín y Tamerlán	0.355	Anónimo	Anónimo		Arabia						
La muerte del Delfín	4.095	Daudet, Alphonse	Daudet	Alphonse	Francia		https://es.wikipedia.org/wiki/Alphonse_Daudet	Alphonse Daudet,Cuentistas de Francia del siglo XIX,Escritores de Francia del siglo XIX,Escritores en francés del siglo XIX,Fallecidos en 1897,Fallecidos en París,Fallecidos por sífilis,Hombres,Nacidos en 1840,Nacidos en Nimes,Novelistas de Francia del siglo XIX,Sepultados en el cementerio del Père-Lachaise		1840	1897
¡Malpocado!	5.02	Valle Inclán, Ramón del	Valle Inclán	Ramón del	España	Romanticismo	https://es.wikipedia.org/wiki/Ram%C3%B3n_Mar%C3%ADa_del_Valle-Incl%C3%A1n	Academia de España en Roma,Aliadófilos en España durante la Primera Guerra Mundial,Caballeros de la Orden de la Legitimidad Proscrita,Carlistas de Galicia,Dramaturgos de España del siglo XIX,Dramaturgos de España del siglo XX,Dramaturgos de Galicia,Escritores de España de la generación del 98,Escritores de España del Modernismo,Escritores de España del siglo XIX,Escritores de España del siglo XX,Escritores de la provincia de Pontevedra,Escritores en español del siglo XIX,Escritores en español del siglo XX,Escritores sobre el carlismo,Fallecidos en 1936,Fallecidos en Santiago de Compostela,Generación del 98,Hombres,Literatos carlistas,Nacidos en 1866,Nacidos en Villanueva de Arosa,Novelistas de España del siglo XIX,Novelistas de España del siglo XX,Novelistas de Galicia,Poetas de Galicia,Productores de teatro de España,Ramón María del Valle-Inclán,Residentes	Alphonse Daudet,Anatole France,Benito Pérez Galdós,Francisco Villaespesa,Gabriele D'Annunzio,Jacinto Benavente,José Zorrilla,Juan Valera,Luis de Castresana,Miguel de Unamuno,Pedro Salinas,Pío Baroja,Ramón Gómez de la Serna,Rosalía de Castro,Rubén Darío	1866	1936
Nerón y Berta	1.36	Anónimo	Anónimo								
